tir,vpn,vpn_ajuste
0.18712245,273448396.3,273.4483963
0.232048577,273969752.6,273.9697526
0.461102538,274839008.4,274.8390084
0.429874851,273584392.7,273.5843927
0.373931112,277151065.8,277.1510658
0.28468297,268900970.6,268.9009706
0.179801407,273272491.4,273.2724914
0.489971786,274801815.1,274.8018151
0.213925624,274897933.1,274.8979331
0.378784765,274670993.5,274.6709935
0.189288496,278116837.2,278.1168372
0.349022797,273185202.2,273.1852022
0.039868225,276293015.4,276.2930154
0.322497955,271869572.3,271.8695723
0.400899717,272118533.7,272.1185337
0.365114102,270723114.1,270.7231141
0.061113541,273354696.7,273.3546967
0.469406802,270061991.1,270.0619911
0.115123371,276680197.5,276.6801975
0.227262666,266596159.7,266.5961597
0.332467208,275352493.4,275.3524934
0.17586851,274087080.7,274.0870807
0.294279281,276882001.3,276.8820013
0.20137241,274693126,274.693126
0.242084353,273438908.1,273.4389081
0.332161615,270214008.7,270.2140087
0.37019258,277368262.3,277.3682623
0.251928794,270525670.3,270.5256703
0.309007945,274060550.4,274.0605504
0.308752529,273256071.8,273.2560718
0.323226549,271710098.8,271.7100988
0.29933169,273974159.7,273.9741597
0.373382456,275464163.1,275.4641631
0.298506719,275229770.2,275.2297702
0.232315507,269690557.3,269.6905573
0.243694299,278748361.2,278.7483612
0.45756478,266653838.6,266.6538386
0.327460864,275393058.8,275.3930588
0.431535362,274605796.9,274.6057969
0.287107606,278740391.4,278.7403914
0.321588345,274537058.4,274.5370584
0.201662136,269975979.6,269.9759796
0.379249807,280371461.7,280.3714617
0.209474463,284029215.7,284.0292157
0.217341099,269910162.3,269.9101623
0.196145643,272703656.4,272.7036564
0.212680508,275097211,275.097211
0.180714175,274054374.2,274.0543742
0.201005705,274702300.2,274.7023002
0.232553151,275248318.2,275.2483182
0.161931503,272877104.1,272.8771041
0.291195095,277923413.3,277.9234133
0.304770604,276018123,276.018123
0.339894833,272686562.8,272.6865628
0.19724017,272112606.6,272.1126066
0.430416417,276041194.9,276.0411949
0.311434211,277878602.6,277.8786026
0.132354637,276684077.4,276.6840774
0.274172144,270418056.4,270.4180564
0.032377248,273965832.7,273.9658327
0.132789343,279760455.7,279.7604557
0.326207315,271426867.4,271.4268674
0.345369556,272894197.6,272.8941976
0.236786733,276193161.1,276.1931611
0.335492611,274130860.2,274.1308602
0.303520366,277569382,277.569382
0.222075336,272691919,272.691919
0.200812233,279925942.3,279.9259423
0.163916176,276282699,276.282699
0.180833987,274404829.4,274.4048294
0.238192587,273981043.1,273.9810431
0.295793209,270662481.3,270.6624813
0.268917056,277250600.7,277.2506007
0.308955216,278894527.3,278.8945273
0.286789173,275096921.4,275.0969214
0.199510434,276738035,276.738035
0.299537595,273543873.8,273.5438738
0.461280226,279641199.2,279.6411992
0.258727395,272188306.8,272.1883068
0.091087477,271953335.4,271.9533354
0.384621922,275698906.6,275.6989066
